2026-05-08 14:11:56,325 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:56,331 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/js/jquery.min.js
2026-05-08 14:11:56,331 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:56,331 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/js/jquery.min.js
2026-05-08 14:11:56,331 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:56,332 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:56,333 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:56,333 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:56,336 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:56,337 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:56,343 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/js/sweetalert2.all.min.js
2026-05-08 14:11:56,344 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:56,344 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/js/sweetalert2.all.min.js
2026-05-08 14:11:56,344 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:56,344 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:56,345 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/bootstrap/js/bootstrap.bundle.min.js
